cum_1d,cum_3d,cum_7d,cum_15d,duration_days,storm_intensity_mm_day,latitude,longitude,label
14.2,24.2,62.199999999999996,136.79999999999998,3,8.066666666666666,25.3433,92.2897,0
4.2,48.5,107.7,250.8,15,16.720000000000002,26.1016,91.6906,0
0.0,8.600000000000001,16.8,82.6,1,0.0,26.1965,91.763,0
0.0,0.0,0.0,54.099999999999994,1,0.0,26.1028,91.8806,0
11.0,46.1,99.0,353.5,15,23.566666666666666,25.0318,92.4584,0
0.0,0.0,0.0,3.1,1,0.0,26.1049,91.7369,0
0.0,13.0,20.2,33.0,1,0.0,26.1309,91.8383,0
5.9,35.2,129.7,428.7,15,28.58,26.048,91.8695,0
6.0,20.5,58.4,126.6,12,10.424999999999999,25.5084,90.2191,0
26.3,86.30000000000001,197.7,301.9,15,20.126666666666665,25.2193,90.5549,0
1.2,9.299999999999999,33.6,75.3,1,1.2,25.5144,90.2167,0
15.8,69.6,143.6,293.4,15,19.56,25.52,91.27,0
0.0,0.8,9.1,9.2,1,0.0,26.1964,91.7652,0
10.4,21.8,53.4,123.60000000000001,5,9.6,26.1833,91.8,0
2.8,2.9,3.4,6.699999999999999,1,2.8,25.9702,91.8587,0
0.0,0.0,0.0,1.0,1,0.0,25.5212,90.232,0
0.1,0.2,1.2,1.2,1,0.1,26.1665,91.7049,0
0.0,0.0,0.0,0.0,1,0.0,26.1468,91.6469,0
0.0,1.8,113.1,134.4,1,0.0,25.3612,92.2845,0
10.6,73.2,178.8,335.7,15,22.38,25.7354,90.3852,0
60.6,214.4,416.1,533.0,10,43.62,25.8143,90.5763,0
30.6,85.30000000000001,154.8,272.0,11,20.081818181818182,26.1966,91.802,0
0.0,0.0,2.2,6.9,1,0.0,26.1097,91.7747,0
0.0,0.0,0.0,0.5,1,0.0,26.1699,91.7986,0
0.1,34.3,62.3,68.4,1,0.1,25.178619,92.012806,0
0.0,0.2,3.3,8.1,1,0.0,25.82601444,91.87113067,0
0.0,3.6,27.7,96.8,1,0.0,26.191688,91.810079,0
2.3,3.4,3.4,9.6,2,1.7,25.43807422,91.79904872,0
17.8,272.8,434.3,656.4,15,43.76,25.51826286,91.9630294,0
0.5,31.5,76.0,224.7,1,0.5,26.16066111,91.85294885,0
14.8,42.4,93.3,176.5,5,18.119999999999997,25.092576,91.763689,0
3.1,46.699999999999996,121.2,341.7,15,22.779999999999998,25.67836832,91.9234343,0
16.2,36.8,131.5,293.5,14,20.942857142857143,25.167803,92.019575,0
19.6,31.900000000000002,74.5,289.2,5,14.0,25.08734272,91.75063827,0
0.0,11.0,19.3,34.9,1,0.0,25.82860033,91.876717,0
3.5,38.7,79.2,116.4,13,8.953846153846154,25.61919207,92.7094701,0
11.9,18.5,20.5,23.5,4,5.0,26.181606,91.772042,0
